,Komentar,Kategori,clean_teks
247,"""Si anjing ketika berfoto dengan si anjing""",0,si anjing foto si anjing
248,"""Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono""",1,kak jessica nungguinsetia kartu keluarga loh pas kemarin kartu keluarga ngehargain pilih sono
249,"""erikontolim manusia babi anak lonte""",0,erikontolim manusia babi anak lonte
250,"""HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!""",1,harga hati wanita tulus tani
251,"""Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica""",1,bagus sih erick mutusin jessica ya erick laku nya begituu coba liat jessica
252,"""Anjing sekarang hebat ya, bisa pake kacamata""",0,anjing hebat ya pakai kacamata
253,"""Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa""",1,lh nasi bubur bentuk kek semulaaa
254,"""Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak""",1,kira hadir bangga
255,"""Ada 3 Ajg Dan Yg Punya Tato Bener2 Ajg""",0,ajg tato ajg
256,"""dasar orang tua gada akhlak,ngajarin anaknya yang ga bener""",0,dasar orang tua akhlakngajarin anak
257,"""Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2""",1,erik sih jelasin update maaf
258,"""Eh jangan dekat dekat sama anjingnya ci Jessica gua lempar lu""",0,eh anjing ci jessica lempar
259,"""guys dr pd comment2 mending unfoll sm unsubscribe aja yaa""",1,guys comment mending unfoll unsubscribe yaa
260,"""Babi lagi main ma anjing :)""",0,babi main ma anjing
261,"""Dikasi BIDADARI MALAH PILIH BABI""",0,kasi bidadari pilih babi
262,"""Postingan pertama jg dihujat dong gila netijen""",1,postingan hujat gila netijen
263,"""BARU KALI INI LIHAT ANJING SAMA BABI BAIKAN…""",0,kali lihat anjing babi baik
264,"""Dikasih bidadari malah milih setan""",0,kasih bidadari pilih setan
265,"""Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(""",1,benci ama bro tingkah lenceng
266,"""SIKAP MU LEBIH NAJIS DARIPADA LUDAH ANJING!""",0,sikap mu najis ludah anjing
267,"""Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2""",1,njir nih poto post komen
268,"""kesini cmn mo liat komen aja""",1,kesini liat komen
269,"""Buset hate comment ampe postingan paling bawah""",1,buset hate comment postingan
270,"""Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu""",1,foto upload nya maret comment jam jam jam
271,"""Pantes banyak utang buat bayar lonte""",0,pantes utang bayar lonte
272,"""2 3 tutup botol muka lu kek kontol wkwk""",0,tutup botol muka kek kontol wkwk
273,"""astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener""",1,astaga pagi bikin bahak ama komenan netijen bicara suka
274,"""Dah lah. Gw capek baca komen kalian""",1,capai baca komen
275,"""Keliatan bgt anjingnya ketakutan foto sama dakjal""",0,anjing takut foto dakjal
276,"""Astaga ngehujat sampe postingan paling bawah""",1,astaga ngehujat postingan
277,"""Lebih najis elu daripada anjing!""",0,najis elu anjing
278,"""2 ekor anjing dan satu buaya makan jambut""",0,ekor anjing buaya makan jambut
279,"""Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol""",0,suruh melihara anjingeric pilih anjing najis najis erick kontol
280,"""Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol""",1,ngapain si ngejudge mikir putus jadi tolol
281,"""Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu""",1,harga wanita dekat pria pilih
282,"""Ternyata sipat anjing bukan hanya ada di anjing doang ya,di manusia sipat anjing juga ternyata ada""",0,sipat anjing anjing yad manusia sipat anjing
283,"""Potret ketika anjing poto dengan setan""",0,potret anjing poto setan
284,"""BANTU BEDAINN WOYY MANA ANJING MANA BABI""",0,bantu bedainn woyy anjing babi
285,"""Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian""",1,udaah woii udahh kasihan capai ngelike komenan
286,"""3 anjing 1 anjing berwujud manusia, 2 anjing asli tak ada perwujudan aowkwkw""",0,anjing anjing wujud manusia anjing asli wujud aowkwkw
287,"""Kasian gue sama anjingnya dipegang dajjal""",0,kasihan anjing pegang dajjal
288,"""Kasian anjing nya di pegang babi""",0,kasihan anjing nya pegang babi
289,"""Lo itu kontol gak guna ajg anak dakjal""",0,kontol ajg anak dakjal
290,"""mukak lu lebih buruk daripada anjing lu""",0,mukak buruk anjing
291,"""dikasi yang bening malah milih yang dakian""",0,kasi bening pilih daki
292,"""Mending masuk penjara lagi aja dah seumur hidup""",0,mending masuk penjara umur hidup
293,"""Kok lbih lucu anjingnya ya ktimbang orangnya""",0,lucu anjing ya ktimbang orang
294,"""Akhirnya jesica bisa lepas dari kambing hitam ini""",0,jesica lepas kambing hitam
295,"""Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah""",1,maafin bro orang salah salah nasehatin ubah
296,"""Kasian anjingnya dipeluk sma sampahh""",0,kasihan anjing peluk sma sampahh
297,"""Gua kira keluar dari PENJARA bisa berubah""",1,penjara ubah
298,"""Cintamu hanya sebatas kertas wkwkw enteng bang""",1,cinta batas kertas wkwkw enteng bang
299,"""Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(""",1,jane respect hilang respect
300,"""udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh, ga nyangka idola gua sesampah itu.""",0,tani sulit pas selingkuh sangka idola sampah
301,"""Dihujat habis""an semua postingan lama ada komen baru wkwk""",1,hujat habis postingan komen wkwk
302,"""Gua gabisa bedain mana anjing mana manusia, keliatannya sama""",0,bedain anjing manusia liat
303,"""Lu mirip anaknya kick andy yg namanya marlo bang""",1,anak kick andy nama marlo bang
304,"""Kenapa ada orang baik ? Karna ada orang jahat""",1,orang orang jahat
305,"""Ngga ada niatan ngadain pengajian gitu bang?""",1,niat ada aji bang
306,"""Suka banget sama rambutnyaa tambah ganteng""",1,suka rambutnyaa ganteng
307,"""@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang""",0,abatartila kaya gin bilang king king muka nya kaya tai musang
308,"""Ninggalin berlian demi tai babi dih""",0,tinggal berlian tai babi dih
309,"""ganteng kaga lu begitu malah keliatan kaya daki kontol""",0,ganteng kaga kaya daki kontol
310,"""Mukak lo kayak tapir kuda asu sok ganteng banget lo""",0,mukak tapir kuda asu sok ganteng
311,"""Banyak yg kecewa karena lu begini rik!!!!""",1,kecewa rik
312,"""Maap ye…muke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh""",0,maaf yemuke jelek kaga sok selingkuhcakepan anjing noh
313,"""Apa si hebatnya banci yg badannya penuh koreng kaya lo""",0,si hebat banci badan penuh koreng kaya
314,"""Gini dong bersihan kaga kek tahun tahun sebelumnya dekil""",0,gin sih kaga kek dekil
315,"""Muka lu keriput kek aki aki""",0,muka keriput kek aki aki
316,"""Foto jelek dihujat, foto ganteng dibilang sok ganteng""",1,foto jelek hujat foto ganteng bilang sok ganteng
317,"""kebanyakan nyabu jadi kurus lu""",0,banyak nyabu kurus
318,"""NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN""",0,narkoboyy ngeluarin lidahh ajg tes urin
319,"""Fotolu pede anjrit muka lu tu anjrit""",0,fotolu pede anjrit muka anjrit
320,"""Hidup itu jngn keterlaluan boss playboy amat ajg luu""",0,hidup boss playboy ajg luu
321,"""Mukalu kek aktor bokep bgst mending ngobat aja luu""",0,mukalu kek aktor bokep bgst mending ngobat luu
322,"""dah jelek semangattt pulak WKWK""",0,jelek semangattt pulak wkwk
323,"""Muka nya kok gitu, seren bikin mual liatnya""",0,muka nya seren bikin mual liat
324,"""Sana anjing ngewe ama lonte bangsat""",0,anjing ngewe ama lonte bangsat
325,"""Muka kek kontol mending di penjara""",0,muka kek kontol mending penjara
326,"""muka kek banci dih najis""",0,muka kek banci dih najis
327,"""Ntar Mati dalam keadaan konyol""",0,mati konyol
328,"""mau bilang jelek nya ga enak hehe …""",0,bilang jelek nya enak hehe
329,"""Idihhhhh pantesan aja foto nya keluarin lidah kyk gtu. Trnyata tukang jilat…""",0,idihhhhh foto nya keluarin lidah tukang jilat
330,"""NIH ORANG KALO LOMBA MIRIP BABI,BABINYA JUARA 2""",0,nih orang lomba babibabinya juara
331,"""Titisan dakjal emg lo nyet""",0,titis dakjal nyet
332,"""Et muka lu aje gitu dih hahaha. Biarin aja sampah ketemu sampah biar busuk bersama""",0,et muka dih hahaha biarin sampah ketemu sampah biar busuk
333,"""Jijik astagah sok bat cakep njs""",0,jijik astagah sok bat cakap njs
334,"""Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg",1,bully an ig ngeri facebook ajg ngeri ajgg
335,"""udah buriq brengsek pula pantes aja dapet lonte""",0,buriq brengsek pantes lonte
336,"""MUKA KAMPUNG GAYA SOK SOAN KOTA NYET""",0,muka kampung gaya sok soan kota nyet
337,"""Ngapa lidah Lo stroke amin deh kalau gtu""",0,ngapa lidah stroke amin deh
338,"""Ciah dihujat 1 Indonesia jangan sampe bunuh diri ya komtoll kami blom puas nguat kauuu""",0,ciah hujat indonesia bunuh ya komtoll puas nguat kauuu
339,"""Org kampung otak dusun gaya sosoan hype. Ttep aja gabisa nutupin muka babu lu.""",0,orang kampung otak dusun gaya sosoan hype nutupin muka babu
340,"""Cowo foto liatin lidah nya jam ah jijik gue. Apa lagi minus akhlak kek gini""",0,cowok foto lihat lidah nya jam ah jijik minus akhlak kek gin
341,"""ANJING gue jg ogah liat muke lu""",0,anjing ogah liat muka
342,"""G bole melet dosaa rik""",1,melet dosaa rik
343,"""paan melet melet mau jilat tai tabi?""",0,paan melet melet jilat tai tabi
344,"""Setan emg melet2 teross jijik asuuu""",0,setan melet teross jijik asuuu
345,"""ni anak lahir krna kondom bocor.. ga ada rasa syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll malah di sia2in bgsad""",0,ni anak lahir kondom bocor syukur muka selangkang gorilla cewek cntik jessica setia siain bgsad
346,"""Apaan si melet2 sok ganteng""",0,si melet sok ganteng
347,"""Muka kek slangkangan biawak aje bnyk blagu lu""",0,muka kek slangkangan biawak blagu
348,"""Sumpah sih jahat banget. Bener2 kasian sama kak jessica""",1,sumpah sih jahat kasihan kak jessica
349,"""Anjing gk pantes sama bidadari.""",0,anjing pantes bidadari
350,"""MELET MULU SETAN KAYA ULAR""",0,melet setan kaya ular
351,"""Njr melet melet gw kirain hewan""",0,njr melet melet kirain hewan
352,"""Gtu aj dh kek anjg lo kang""",0,deh kek anjg kang
353,"""Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga""",1,kesini ken liat babang sumpah feeling ama reynhard sinaga
354,"""Ih ko melet2 si kaya hewan aja wkwkwkwk""",0,ih ko melet si kaya hewan wkwkwkwk
355,"""Iuu milih iblis drpd bidadarii kwkwkw jyjyq""",0,iuu pilih iblis bidadari kwkwkw jyjyq
356,"""MELET2 UDAH KAYA ANJING, EH KAN EMAH ANJING""",0,melet kaya anjing eh emah anjing
357,"""ga nyadar aja nih sampah HAHA""",0,nyadar nih sampah haha
358,"""Lidah banyak kuman and virus nih""",0,lidah kuman and virus nih
359,"""Awalnya ngira baju endorse dari KFC, mirip '-'""",1,ngira baju endorse kfc
360,"""GUA MAU LO TERUS BERKARYA , PERBAIKI, TINGGALKAN YG NEGATIF , TIDAK ADA KATA TERLAMBAT , TTP JADI ORANG YG HEBAT DAN SELALU BAHAGIA @xrickolim""",1,karya baik tinggal negatif lambat orang hebat bahagia xrickolim
361,"""Cita cita ingin jadi pakboi , eh tapi malah jadi narkoboy nasib-nasib""",0,cita cita pakboi eh narkoboy nasibnasib
362,"""Napa lu balik dari penjara sih?""",0,penjara sih
363,"""Mending lu pada tobat dah""",1,mending tobat
364,"""selama dipenjara apalo sikat gigi? KOK BAU YA, BAUBAU AROMA BANGSATTTT""",0,penjara apalo sikat gigi bau ya baubau aroma bangsatttt
365,"""Gigi lo ada apanya? Jigong? Atau kondom nya nyangkut?""",0,gigi apa jigong kondom nya nyangkut
366,"""ih mukanya kek anjing rumah gwa""",0,ih muka kek anjing rumah gwa
367,"""woi anak anjing ngapain lu hidup bgst""",0,woi anak anjing ngapain hidup bgst
368,"""Udah jelek gak usah d jelek2 in lagi bro""",0,jelek jelek in bro
369,"""Ganteng kagak berbakat juga kagak kelebihannya dimana cobak?""",0,ganteng bakat lebih cobak
370,"""Benci aja Ama orang jelek pake selingkuh segala""",0,benci ama orang jelek pakai selingkuh
371,"""Udah tutup mulut nya bau kambing""",0,tutup mulut nya bau kambing
372,"""Jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah""",0,jual jual yutuber bro takut nonton yah
373,"""Kayak Randy Pangalila klo gk pake kacamata""",1,randy pangalila pakai kacamata
374,"""Entah knp liat muka BG Eric sekarang kaya enak gitu .. dari pada yg dulu""",1,liat muka eric kaya enak
375,"""Apa ganteng nyasih anjing.. Kucel gini jadiin model""",0,ganteng nyasih anjing kucel gin model
376,"""keknya dia ngeliat masa depan yang hancur deh""",0,ngeliat hancur deh
377,"""INGETT HIDUP LO DULU GA SEENAK INI RIKKK. HIDUP LO SUSAH!!!! SALAM TEMEN SMP PAS LO BURIKKK. EH SKRG SAMA AJA""",0,ingett hidup enak rikkk hidup susah salam teman smp pas burikkk eh
378,"""Yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah….oprasi dulu sono..biar gantengan dikit.. Dan kalo jln ke mall gk di kenal orng.""",0,yaaaa yaaa liat muka nya sumpah ngeselin dahoprasi sonobiar ganteng jalan mall kenal orang
379,"""dia ini siapa sih??? Artis bukan, jelek mah iya mukanya iyuhhh""",0,sih artis jelek mah iya muka iyuhhh
380,"""Ini bukan era lo lagi, mending lo mati aja babi. Kalo baca bales nyet""",0,era mending mati babi baca balas nyet
381,"""Saya segenap hati minta maap""",1,segenap hati maaf
382,"""Dulu Bahagia Sekarang Banyak Utang""",0,bahagia utang
383,"""Harus lebih maju berkelas rik!! Ga jamannya lg toxic dan ga beraturan.. build sistem!! You will be BIG""",1,maju kelas rik jaman toxic atur build sistem you will be big
384,"""editan sama konsepnya nice banget lahhh""",1,edit konsep nice lahhh
385,"""iri kok sama babi hahah najis""",0,iri babi hahah najis
386,"""LO YANG DULU BUKANLAH YANG SEKARANG DULU KAYA ANJING SEKARANG KAYA BABI""",0,kaya anjing kaya babi
387,"""Jelek aja tukang selingkuh lo buriq !""",0,jelek tukang selingkuh buriq
388,"""kok kalian komennya pada kek gini ya""",1,komennya kek gin ya
389,"""Rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik, sayang nya lu ngecewain org lain gimana mo masuk surga""",0,rick tuh manusia kek guna dilahirin dunia buat sayang nya ngecewain orang gimana masuk surga
390,"""Kalian kaloga cocok mau di paksain?""",1,kaloga cocok paksain
391,"""ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir""",1,ya biarin xrickolim gatau gimana asli ambil putus sepihakkalo takdir nentang njir
392,"""Cocok kok, emang orang baik mah buat org baik, kalo yg bejat mah emang cocok buat yang bejat juga ehehe""",0,cocok orang mah orang bejat mah cocok bejat ehehe
393,"""ERICK GOBLOK,MALAH PACARAN AMA LONTE ANJ,SO BAT""",0,erick goblokmalah pacar ama lonte anjso bat
394,"""Cocok banget sama2 orang gak bener biar lah dia hancur bersama""",0,cocok orang biar hancur
395,"""EH KEK ADA PENAMPAKAN LONTE""",0,eh kek tampak lonte
396,"""Meninggalkan berlian demi Tai Sapi""",0,tinggal berlian tai sapi
397,"""Ini bukan era lo lgi, wkwkw skrng lo penuh dengan cacimaki, telen ludah sendiri""",0,era wkwkw penuh cacimaki telen ludah
398,"""Pantes disini mulainya si ajg berulah""",0,pantes mulai si ajg ulah
399,"""Open BO ga bang si listy? Kebetulan ada om-om yg nyari cwe yg udah pengalaman!!!!""",0,open bo bang si listy omom cari cewek alam
400,"""Buah nangka buah kemanggi gak ada akhlak lu babi""",0,buah nangka buah kemanggi akhlak babi
401,"""Perlahan karirmu ancur bro dan lu akan kembali kebawan""",0,perlahan karirmu hancur bro kebawan
402,"""Biarkan @sk69official bangkrut aja. CEO nya gatau trimakasih haha""",0,biar skofficial bangkrut ceo nya gatau terima kasih haha
403,"""ngapain juga nginap di rumah cowo, gaada keluarga lg lo?""",0,ngapain nginap rumah cowok keluarga
404,"""Eh ada pelakor, pas banget frame ke tiga, orang ke 3""",0,eh pelakor pas frame orang
405,"""Anak gblk dikasi berlian malah milih kerikil""",0,anak gblk kasi berlian pilih kerikil
406,"""Dikasih bidadari malah milih dajjal awokawok:v""",0,kasih bidadari pilih dajjal awokawokv
407,"""Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami""",1,ngehina sadar sempurna kaya
408,"""Kesihan gue sama org otak dangkal kek gini""",0,sih orang otak dangkal kek gin
409,"""Murahh banget lo jijik gue …. Dikick EVOS mlah open BO""",0,murahh jijik dikick evos open bo
410,"""senengnya sekali nyesel nya seumur hidup, miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing""",0,neng sesal nya umur hidup miris hidup tolol tinggal berlian indah pandang sayang gumpal tai kucing
411,"""Indahnya pemandangan banyak LonT lonT mau di jual""",0,indah pandang lont lont jual
412,"""bidadari sudah ditunjukan , bahwa mmg g pantes sma dajjal g tau diri""",0,bidadari tunjuk pantes sma dajjal
413,"""siapapun tolong kasih tau aku ini masalah nya apaa gais""",1,tolong kasih nya apaa gais
414,"""dikasih hati yg malaikat milih yg berhati iblis greget:(""",0,kasih hati malaikat pilih hati iblis greget
415,"""Di kasih bidadari malah pilih kotoran""",0,kasih bidadari pilih kotor
416,"""Dikasih bidadari malah minta lonte""",0,kasih bidadari lonte
417,"""Gajadi beli Model murahan barang pasti murahan""",0,beli model murah barang murah
418,"""Modelny aja murahan apalagi barangnya""",0,modelny murah barang
419,"""muka macem pengamen gegayaan selingkuh, untung udh ga sm jane lg, kebanting sm jane muke lu""",0,muka macem amen gegayaan selingkuh untung jane banting jane muka
420,"""Males beli gua,gara gara ada lonte""",0,males beli guagara gara lonte
421,"""Padahal bulug gini ya mukanya.. ehh,, maaf..""",0,bulug gin ya muka ehh maaf
422,"""Padahal cantikan jessica kemana mana""",1,cantik jessica
423,"""Dikasih bidadari malah milih sampah""",0,kasih bidadari pilih sampah
424,"""yaelah muka pas""an aja bangga lu njing""",0,yaelah muka pas bangga njing
425,"""Wah ibarat lebih milih iblis daripada bidadari haha""",0,pilih iblis bidadari haha
426,"""@rangga_kanahaya knp gk truck sampah, kek mukanya sampah""",0,ranggakanahaya truck sampah kek muka sampah
427,"""Gajadi beli, takut ketularan lonte nya""",0,beli takut tular lonte nya
428,"""hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam""",1,hujat klean kasihan si listy kontrak nya copot hujat dunia kejam
429,"""Jangan beli baju lonte entar kena sial""",0,beli baju lonte kena sial
430,"""Dasar cewe lo itu LONTE tau kau!""",0,dasar cewek lonte
431,"""Disini pada kenapa dah? Aku gapaham tolong""",1,gapaham tolong
432,"""Itu ditengah manusia apa monyet kok kulitnya bercorak batik""",0,tengah manusia monyet kulit corak batik
433,"""Muka lu sama anjing gwe..lebih ganteng anjing gwe rik""",0,muka anjing gwelebih ganteng anjing gwe rik
434,"""Buat kalian para pens lonte jgn tkut listi Miskin krna dipecat, krna dia bsa kaya lgi, dgn cara ya nglonte""",0,pens lonte takut listi miskin pecat kaya ya nglonte
435,"""Etdah ninggalin yang baik demi lonte, situ waras mas wkwk""",0,etdah tinggal lonte situ waras mas wkwk
436,"""Gw melihat cewek murahan di postingan ini""",0,cewek murah postingan
437,"""yang kedua dari sebelah kanan itu batik apa orang dah? kok warna nya kek taek babi si?""",0,belah kanan batik orang warna nya kek taek babi si
438,"""Ih ko muka jelek banget siii serem kek setan""",0,ih ko muka jelek siii seram kek setan
439,"""Itu yang foto ketiga jablay murahan bukan?""",0,foto tiga jablay murah
440,"""Jelek aja tukang selingkuh lo buriq !!!!""",0,jelek tukang selingkuh buriq
441,"""Emang kalian se suci apa sampai nghina dia segitu nya""",1,suci nghina segitu nya
442,"""Mending yang follow pada unfollow Udeh gausah ribet""",1,mending follow unfollow ribet
443,"""Dekil tatoan, mampus karir Lo hancurr pantek""",0,dekil tato mampus karir hancurr pantek
444,"""Udah ada berlian malah milih batu nisan""",0,berlian pilih batu nisan
445,"""Alasan setan ama setan, KARNA KALO SETAN SAMA BIDADARI, SAYAPNYA RONTOK, DICEKER, DIGIGIT, DIJAMBAK2""",0,alas setan ama setan setan bidadari sayap rontok ceker gigit jambak
446,"""Lagian juga Erick gak ada akhlak jelek lagi Listy juga jelek""",0,erick akhlak jelek listy jelek
447,"""Setan ma setan mahh emg cocokk udee""",0,setan ma setan mahh cocokk udee
448,"""Lonte kurus pucet kek mayat hidup""",0,lonte kurus pucet kek mayat hidup
449,"""Itu muka apa tutup panci wkwkekek jelek nya ampe ke ubun ubun""",0,muka tutup panci wkwkekek jelek nya ubun ubun
450,"""@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong""",1,xrickolim smngat bro tiada manusia sempurna bangkit n gbu keepstrong
451,"""bego anak orang udah ga perawan noh gara"" lu wkwkw""",0,bodoh anak orang perawan noh gara wkwkw
452,"""Frustasi..Sudah habis uangnya..Kasihannn""",0,frustasisudah habis uangnyakasihannn
453,"""Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras""",1,bro ngehujat erick sok keras
454,"""Semangat Rick untuk usaha barunya""",1,semangat rick usaha baru
455,"""Hadehh muka kaya tong sampah .""",0,hadehh muka kaya tong sampah
456,"""banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya""",1,omong kasar tobat kawan kawan comment kasar nya
457,"""Ni org jelek ga ada obat.kok jj mau liat apa ya..""",0,ni orang jelek obatkok jj liat ya
458,"""Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka""",1,semangat bang orang ngejudge peduliin
459,"""Tuhan yesus baik semangat rick""",1,tuhan yesus semangat rick
460,"""Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)""",1,balas komen hate bang bikin sakit jempol mending karya
461,"""Eh lo nyadar ga ? Udah dekil terus tatoan, jadi nya kaya daki haha""",0,eh nyadar dekil tato nya kaya daki haha
462,"""jelek dapet selingkuhan jelek juga keren yaa imbang wkkw""",0,jelek selingkuh jelek keren yaa imbang wkkw
463,"""Wah ngehina fisik ni orang,ga bener ya wkwkwkwk""",1,ngehina fisik ni orangga ya wkwkwkwk
464,"""BUNUH DIRI LAH SONO GOBLOX""",0,bunuh sono goblox
465,"""Sabar semua komentar ini ujian""",1,sabar komentar uji
466,"""Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!""",1,santai rick ngehujat jalan hidup sok suci
467,"""Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank""",1,sabar yahtetep semangat ngejar karirnya dengerin orang ngebacot komen
468,"""Erick masuk neraka jalur selingkuh bos""",0,erick masuk neraka jalur selingkuh bos
469,"""Trs berkarya walaupun brd di titik sprti ini""",1,karya brd titik
470,"""Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada""",1,stop ngatain orang ngatain orang ngaca ngatain suci hidup
471,"""Yang ngatain keknya idupnya gapernag bikin kesalahan""",1,ngatain idupnya gapernag bikin salah
472,"""Jadi gila kau rupanya karna gak laku lagi di YouTube""",0,gila laku youtube
473,"""Kasian yah sdh stress banyak masalah""",0,kasihan yah stress
474,"""Kok jatohnya malah kek ajg sih rikkk""",0,jatohnya kek ajg sih rikkk
475,"""Karir turun jadi autis kasian hahah""",0,karir turun autis kasihan hahah
476,"""erick yang kek gini yang gua kangenin, keep it up bruuh""",1,erick kek gin kangenin keep up bruuh
477,"""Udah mau autis iya bg awokawkk""",0,autis iya awokawkk
478,"""Kasian masih muda udah stresss""",0,kasihan muda stresss
479,"""Banyak komen yg support malah ketutup yg hate bgst emang IG""",1,komen support tutup hate bgst ig
480,"""Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm""",1,maudy cantik na natural cantik cantik
481,"""Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.""",1,bikin konten youtube student life at standford maudyayunda s at oxford fansmu tunggu nih
482,"""Aura org pinter emg shining ya bun @hy_dindut""",1,aura orang pintar shining ya bun hydindut
483,"""Paket lengkap deh.. udh cantik pintar lagi""",1,paket lengkap deh cantik pintar
484,"""Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett""",1,sukaa artis neko natural bngett
485,"""Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy""",1,cantik pintar talenta orangtua anak mba maudy
486,"""Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot… rajin2 ngaca deh""",0,idih mak lampir banding uya ma butir debu kenal bacot rajin ngaca deh
487,"""Anjirlah muka lo kek kuntilanak malah sok cantik""",0,anjir muka kek kuntilanak sok cantik
488,"""Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama"" jadi jijik kenapa gak sekalian bisu aja""",0,mbak cadel bangga cadel sih kasihan cadel jijik bisu
489,"""Uda pinter, cantik gak kebanyakan tingkah. Perfect""",1,pintar cantik banyak tingkah perfect
490,"""Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada""",1,hatihati mody jagajaga serang brutal rasisme wajah kilas onnie korea waspada
491,"""Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda""",1,bikin konten youtube daily activity stanford kak maudyayunda
492,"""Motivasi ku ka Maudy cantipp bngt""",1,motivasi ka maudy cantipp
493,"""Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin""",1,moga cerdas mbak maudy manfaat agama nusa bangsa aamiin
494,"""Damage nya cewek pinter gada lawann""",1,damage nya cewek pintar lawann
495,"""cantikan waktu berisi dulu… sekarang kurus bgt, kurus begini auranya kurang""",0,cantik isi kurus kurus aura
496,"""cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?""",0,cantik sih sayang kurus ya padahl nikah bahagia nikah
497,"""masih good vibes walaupun sedang lapar""",1,good vibes lapar
498,"""kakak cantik bgt bismillah cerdasnya nular""",1,kakak cantik bismillah cerdas nular
499,"""Bego lu. Alam semesta dan seisinya pun serentak murka mendengarkan lagumu""",0,bodoh alam semesta isi serentak murka dengar lagu
500,"""Dua2 nya cantik banget masya Allah""",1,nya cantik masya allah
501,"""ka nisa mirip ariana grande masa""",1,ka nisa ariana grande
502,"""Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha""",1,adik kak maudy cantik pintar aura positif ramah lemah lembut rajin sholeha
503,"""Sekilas yg abu mirip ariana grande haha""",1,kilas abu ariana grande haha
504,"""Yang satu nya mirip Ariana grande""",1,nya ariana grande
505,"""Kakak sama adek sama sama cantik ya aku suka sama dua duanya""",1,kakak adik cantik ya suka dua
